"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"POT","Potash Corporation of Saskatchewan Inc.","39.15","33864549082.2","n/a","1989","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/pot",
"SCG","Scana Corporation","48.98","6455203948.02","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/scg",
"FXCM","FXCM Inc.","13.32","455930639.64","n/a","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/fxcm",
"PB","Prosperity Bancshares, Inc.","46.32","2613846493.44","n/a","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/pb",
"JSD","Nuveen Short Duration Credit Opportunities Fund","21.01","210210302.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jsd",
"MLM","Martin Marietta Materials, Inc.","98.09","4503250397.57","n/a","1994","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/mlm",
"DAN","Dana Holding Corporation","16.46","2433458020.76","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan",
"MYF","Blackrock MuniYield Investment Fund","16.83","228945053.7","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/myf",
"BYI","Bally Technologies, Inc.","48.98","2024637280","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/byi",
"KDN","Kaydon Corporation","25.37","813807113.69","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/kdn",
"HTR","Hyperion Total Return Fund, Inc.","24.39","255037644.72","n/a","1989","n/a","n/a","http://www.nasdaq.com/symbol/htr",
"AEG","Aegon NV","6.31","12049917061.81","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"EOC","Empresa Nacional de Electricidad S.A.","51.45","14066009087.55","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eoc",
"MUX","McEwen Mining Inc.","2.55","547026844.05","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mux",
"ICA","Empresas Ica Soc Contrladora","11.6","1753569668.4","n/a","1992","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/ica",
"DYN","Dynegy Inc.","19.95","2306358373.2","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dyn",
"SGL","Strategic Global Income Fund, Inc.","10.87","198473460.36","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/sgl",
"EOS","Eaton Vance Enhanced Equity Income Fund II","10.96","531481340.08","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/eos",
"JQC","Nuveen Credit Strategies Income Fund","10.31","1404023099.48","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/jqc",
"MUS","Blackrock MuniHoldings Quality Fund, Inc.","15.34","199338774.7","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/mus",
"VTR","Ventas, Inc.","70.13","20474016029.06","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vtr",
